Consum(kWh),Duration_hours,Site,CP ID,Connector Type,Connector,Start_hour,End_hour,Day_of_week,is_weekend,season
4120.411,280.1483333,"Princes Street Charging Hub, Dundee",61611,rapid,DD4 6BY,12,13,6,1,2
9588.626,388.8197222,"Princes Street Charging Hub, Dundee",APT51423,rapid,DD4 6BY,14,15,0,0,2
6963.275,446.2427778,"Lochee Charging Hub, Aimer Square, Dundee",APT51423,rapid,DD2 3BH,11,14,1,0,2
5698.795,473.1972222,"Princes Street Charging Hub, Dundee",APT51423,rapid,DD4 6BY,15,9,2,0,2
4791.541,333.3375,"Princes Street Charging Hub, Dundee",APT51423,rapid,DD4 6BY,12,10,3,0,2
4506.435,361.5997222,"Lochee Charging Hub, Aimer Square, Dundee",APT51423,rapid,DD2 3BH,11,11,4,0,2
5018.323,304.6194444,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,12,12,5,1,2
3851.16,237.7977778,Clepington Road - 4th Hub,51426,rapid,DD3 8PL,14,11,6,1,2
3752.083,304.2694444,"Princes Street Charging Hub, Dundee",51424,rapid,DD4 6BY,11,12,0,0,2
5966.023,423.9919444,"Princes Street Charging Hub, Dundee",61615,rapid,DD4 6BY,11,20,1,0,2
4256.124,406.5977778,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,9,12,2,0,2
4601.051,454.2219444,"Princes Street Charging Hub, Dundee",APT51423,rapid,DD4 6BY,13,13,3,0,2
7268.431,350.2638889,"Princes Street Charging Hub, Dundee",61611,rapid,DD4 6BY,11,17,4,0,2
3964.054,335.8041667,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,14,11,5,1,2
3836.625,261.6658333,Clepington Road - 4th Hub,61615,rapid,DD3 8PL,12,11,6,1,2
3846.018,261.4419444,"Lochee Charging Hub, Aimer Square, Dundee",61615,rapid,DD2 3BH,13,14,0,0,2
3835.888,313.8211111,"Princes Street Charging Hub, Dundee",51421,rapid,DD4 6BY,13,14,1,0,2
4372.865,380.4116667,"Lochee Charging Hub, Aimer Square, Dundee",61611,rapid,DD2 3BH,14,15,2,0,2
4234.802,355.3383334,"Lochee Charging Hub, Aimer Square, Dundee",60695,rapid,DD2 3BH,10,12,3,0,2
4758.662,307.9341667,Clepington Road - 4th Hub,51424,rapid,DD3 8PL,11,12,4,0,2
3996.4,251.2391667,"Princes Street Charging Hub, Dundee",51424,rapid,DD4 6BY,11,11,5,1,2
3739.638,217.3213889,"Princes Street Charging Hub, Dundee",61611,rapid,DD4 6BY,9,14,6,1,2
3756.14,344.3036111,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,10,13,0,0,2
3765.714,318.3563889,"Princes Street Charging Hub, Dundee",61615,rapid,DD4 6BY,12,11,1,0,2
4381.146,341.4322222,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,13,13,2,0,2
4377.829,416.9705555,Clepington Road - 4th Hub,61615,rapid,DD3 8PL,11,11,3,0,2
4636.606,321.7547222,"Princes Street Charging Hub, Dundee",61611,rapid,DD4 6BY,10,13,4,0,2
4213.284,210.6255556,"Princes Street Charging Hub, Dundee",61611,rapid,DD4 6BY,10,14,5,1,2
4060.525,284.4291667,"Princes Street Charging Hub, Dundee",61615,rapid,DD4 6BY,12,12,6,1,2
3691.148,182.0336111,"Princes Street Charging Hub, Dundee",61611,rapid,DD4 6BY,10,16,0,0,2
3777.016,377.2791667,"Lochee Charging Hub, Aimer Square, Dundee",APT51549,rapid,DD2 3BH,9,10,2,0,2
8331.537,640.9255556,"Lochee Charging Hub, Aimer Square, Dundee",61615,rapid,DD2 3BH,15,14,4,0,2
6943.443,515.83,"Princes Street Charging Hub, Dundee",APT51423,rapid,DD4 6BY,12,12,5,1,2
4414.019,445.1602778,"Lochee Charging Hub, Aimer Square, Dundee",APT51423,rapid,DD2 3BH,11,12,6,1,2
4460.529,417.3077778,Clepington Road - 4th Hub,APT51423,rapid,DD3 8PL,14,14,0,0,2
5568.802,365.6369444,"Princes Street Charging Hub, Dundee",APT51423,rapid,DD4 6BY,11,19,1,0,2
3575.787,365.7486111,"Queen Street Charging Hub, Dundee",APT51422,rapid,DD5 2HD,14,14,2,0,2
4333.664,352.7891667,"Lochee Charging Hub, Aimer Square, Dundee",61611,rapid,DD2 3BH,12,13,3,0,2
4574.614,259.93,"Princes Street Charging Hub, Dundee",APT51423,rapid,DD4 6BY,11,11,4,0,2
4309.239,433.1505556,"Princes Street Charging Hub, Dundee",61611,rapid,DD4 6BY,14,14,5,1,2
5462.439,316.7922222,"Princes Street Charging Hub, Dundee",APT51423,rapid,DD4 6BY,12,13,6,1,2
5667.002,286.6819444,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,10,14,0,0,2
4312.136,347.23,"Lochee Charging Hub, Aimer Square, Dundee",62125,rapid,DD2 3BH,15,15,1,0,2
4339.14,373.9422222,"Lochee Charging Hub, Aimer Square, Dundee",60695,rapid,DD2 3BH,11,11,2,0,2
5153.696,442.4566666,"Lochee Charging Hub, Aimer Square, Dundee",61615,rapid,DD2 3BH,9,7,3,0,2
5004.444,359.5252778,"Princes Street Charging Hub, Dundee",61611,rapid,DD4 6BY,9,10,4,0,2
4714.438,263.6672222,"Princes Street Charging Hub, Dundee",61611,rapid,DD4 6BY,11,10,5,1,2
4368.1,304.3466667,"Princes Street Charging Hub, Dundee",61611,rapid,DD4 6BY,12,13,6,1,2
4654.228,324.4661111,Clepington Road - 4th Hub,APT51593,rapid,DD3 8PL,13,13,0,0,2
4738.292,415.8811111,Clepington Road - 4th Hub,61615,rapid,DD3 8PL,13,13,1,0,2
4074.344,415.1208333,"Princes Street Charging Hub, Dundee",61611,rapid,DD4 6BY,9,10,2,0,2
4756.165,327.1227778,Clepington Road - 4th Hub,61615,rapid,DD2 3BH,13,15,3,0,2
5629.628,382.7041667,"Princes Street Charging Hub, Dundee",61611,rapid,DD4 6BY,11,12,4,0,2
4973.624,286.8786111,"Princes Street Charging Hub, Dundee",61611,rapid,DD4 6BY,11,10,5,1,2
5232.14,323.815,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,14,14,6,1,2
4411.146,248.0605555,"Princes Street Charging Hub, Dundee",61615,rapid,DD4 6BY,10,11,0,0,2
4862.055,399.2947222,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,10,13,3,0,2
5115.42,382.6880556,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,12,14,4,0,2
4863.861,310.9955556,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,19,11,5,1,2
7523.311,464.2905556,"Lochee Charging Hub, Aimer Square, Dundee",APT51423,rapid,DD2 3BH,11,12,0,0,3
7077.415,411.5308333,"Princes Street Charging Hub, Dundee",61615,rapid,DD4 6BY,12,14,1,0,3
5313.427,454.12,"Lochee Charging Hub, Aimer Square, Dundee",51548,rapid,DD2 3BH,12,14,2,0,3
4537.434,407.0508333,"Lochee Charging Hub, Aimer Square, Dundee",61616,rapid,DD2 3BH,11,13,3,0,3
4398.791,275.8280556,"Lochee Charging Hub, Aimer Square, Dundee",61611,rapid,DD2 3BH,11,13,4,0,3
4467.573,389.2047222,"Lochee Charging Hub, Aimer Square, Dundee",APT51549,rapid,DD2 3BH,10,11,5,1,3
4548.264,318.1627778,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,12,13,6,1,3
3976.257,321.285,"Princes Street Charging Hub, Dundee",61615,rapid,DD4 6BY,15,13,0,0,3
4644.138,388.9422222,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,12,12,1,0,3
5816.337,374.9669444,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,11,13,2,0,3
5994.353,356.8730556,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,9,14,3,0,3
6098.505,324.1263889,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,12,10,5,1,3
3970.87,259.7172222,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,17,14,6,1,3
4318.491,368.7025,"Lochee Charging Hub, Aimer Square, Dundee",61611,rapid,DD2 3BH,13,13,1,0,3
4853.469,282.1794444,"Lochee Charging Hub, Aimer Square, Dundee",61611,rapid,DD2 3BH,12,12,2,0,3
4798.196,275.16,"Lochee Charging Hub, Aimer Square, Dundee",51421,rapid,DD2 3BH,10,11,4,0,3
5777.977,389.5380556,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,13,13,5,1,3
4415.109,254.8622222,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,14,15,6,1,3
4968.339,452.8758333,Clepington Road - 4th Hub,APT51423,rapid,DD3 8PL,11,11,0,0,3
5211.591,450.2836111,Clepington Road - 4th Hub,APT51423,rapid,DD3 8PL,13,11,1,0,3
5892.467,405.6425,Clepington Road - 4th Hub,61616,rapid,DD3 8PL,10,13,2,0,3
4717.878,284.3808333,"Princes Street Charging Hub, Dundee",61611,rapid,DD4 6BY,12,13,3,0,3
5022.665,372.8738889,"Princes Street Charging Hub, Dundee",61611,rapid,DD4 6BY,10,13,4,0,3
5685.527,332.8888889,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,11,10,5,1,3
5534.086,243.9908333,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,13,12,6,1,3
6190.296,469.7325,Clepington Road - 4th Hub,61616,rapid,DD3 8PL,16,9,0,0,3
7357.562,568.32,"Princes Street Charging Hub, Dundee",APT51423,rapid,DD4 6BY,12,12,2,0,3
5744.789,365.1413889,"Princes Street Charging Hub, Dundee",APT51423,rapid,DD4 6BY,12,15,3,0,3
4626.183,493.9119444,"Princes Street Charging Hub, Dundee",61615,rapid,DD4 6BY,12,12,4,0,3
4615.199,335.4177778,"Princes Street Charging Hub, Dundee",APT51423,rapid,DD4 6BY,12,13,5,1,3
4240.036,311.5577778,"Princes Street Charging Hub, Dundee",APT51423,rapid,DD4 6BY,14,12,6,1,3
4554.81,438.3411111,Clepington Road - 4th Hub,61615,rapid,DD3 8PL,14,15,0,0,3
3825.385,167.6358333,"Princes Street Charging Hub, Dundee",61615,rapid,DD4 6BY,12,13,1,0,3
5523.269,434.1911111,"Princes Street Charging Hub, Dundee",51595,rapid,DD4 6BY,13,14,2,0,3
5074.889,451.8283333,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,8,12,3,0,3
5275.9,344.2566667,Clepington Road - 4th Hub,61615,rapid,DD3 8PL,14,14,4,0,3
7625.221,482.1808333,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,16,15,5,1,3
5000.127,258.9597222,"Princes Street Charging Hub, Dundee",61611,rapid,DD4 6BY,11,11,6,1,3
3372.469,323.5380556,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,11,12,0,0,3
4959.826,415.5261111,Clepington Road - 4th Hub,51421,rapid,DD3 8PL,12,14,1,0,3
5432.756,252.1091667,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,10,13,4,0,3
5487.543,95.72583334,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,11,12,5,1,3
4683.798,101.4822222,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,11,13,6,1,3
