Total kWh,Total_time_hours,CP ID,Connector,Site,Model,Start_hour,End_hour,Day_of_week,is_weekend,season
411.373,44.21666667,50286,2,South Inch Car Park,APT Triple Rapid Charger,13,16,3,0,3
398.852,48.31666667,50745,2,Broxden Park & Ride,APT Triple Rapid Charger,12,15,4,0,3
320.564,38.76666667,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,13,14,5,1,3
401.655,36.71666667,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,19,19,6,1,3
486.696,81.74999999,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,12,12,0,0,3
476.363,67.13333333,50745,2,Kinross Park and Ride,APT Triple Rapid Charger,9,14,1,0,3
411.535,62.05,50745,2,South Inch Car Park,APT Triple Rapid Charger,13,15,2,0,3
422.438,50.56666667,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,8,18,3,0,3
380.349,38.18333333,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,12,12,4,0,3
295.675,36.46666667,50745,2,Kinross Park and Ride,APT Triple Rapid Charger,19,19,5,1,3
427.281,24.55,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,14,11,6,1,3
176.903,11.46666667,50745,2,Broxden Park & Ride,APT Triple Rapid Charger,11,18,0,0,3
278.976,25.35,50245,2," Leslie Street Car Park, Blairgowrie",APT Triple Rapid Charger,12,12,2,0,3
340.117,49.81666667,50745,2,Kinross Park and Ride,APT Triple Rapid Charger,8,17,3,0,3
386.936,47.5,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,16,17,4,0,3
196.928,18.6,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,10,10,5,1,3
422.385,35.78333333,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,14,16,6,1,3
282.27,29.51666667,50745,2,Broxden Park & Ride,APT Triple Rapid Charger,11,12,0,0,3
263.987,31.56666667,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,8,16,1,0,3
270.649,20.36666667,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,9,12,2,0,3
333.691,36.48333334,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,12,12,3,0,3
350.558,47.95,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,15,15,4,0,3
419.696,53.5,50277,2,South Inch Car Park,APT Triple Rapid Charger,10,10,5,1,3
349.561,35.45,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,11,15,6,1,3
372.764,43.2,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,11,12,0,0,3
374.469,31.56666667,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,16,12,1,0,3
302.782,36.18333334,50286,1,Broxden Park & Ride,APT Triple Rapid Charger,13,13,2,0,3
463.831,53.21666667,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,12,16,3,0,3
358.869,51.03333334,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,8,17,4,0,3
