Total Duration (hours),Charging Time (hours),Energy (kWh),Fee,Station Name,MAC Address,Port Type,Port Number,Plug Type,Address 1,Postal Code,Latitude,Longitude,Start Hour,End Hour,Day of Week,is_weekend,season
5.411111111,4.345555555,14.774353,0,PALO ALTO CA / HAMILTON #2,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444607,-122.160263,8,19,3,0,2
22.47194444,4.991666666,17.175258,0,PALO ALTO CA / HAMILTON #2,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444607,-122.160263,8,11,4,0,2
24.03472223,8.446666667,27.324761,0,PALO ALTO CA / HAMILTON #2,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444607,-122.160263,13,11,5,1,2
9.954444444,9.92,34.545546,0,PALO ALTO CA / HAMILTON #2,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444607,-122.160263,10,1,6,1,2
9.094166666,6.731666667,20.875614,0,PALO ALTO CA / HAMILTON #1,000D:6F00:015A:9D76,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,9,9,0,0,2
16.64194445,8.0575,26.982022,0,PALO ALTO CA / HAMILTON #2,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444607,-122.160263,9,7,1,0,2
23.09444444,13.8925,43.908577,0,PALO ALTO CA / HAMILTON #1,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,13,14,2,0,2
6.063611111,6.050277779,20.482843,0,PALO ALTO CA / HAMILTON #1,000D:6F00:015A:9D76,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,8,11,3,0,3
15.60833333,14.66027778,50.133729,0,PALO ALTO CA / HAMILTON #1,000D:6F00:015A:9D76,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,8,16,4,0,3
15.2775,13.61083333,45.009934,0,PALO ALTO CA / HAMILTON #1,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,7,12,5,1,3
29.21,16.73277778,54.286379,0,PALO ALTO CA / HAMILTON #1,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,15,20,6,1,3
2.610277778,2.602499999,8.618458,0,PALO ALTO CA / HAMILTON #1,000D:6F00:015A:9D76,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,10,11,0,0,3
20.42555556,10.75833333,28.615484,0,PALO ALTO CA / HAMILTON #2,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444607,-122.160263,8,7,1,0,3
16.11388889,8.129999999,27.125503,0,PALO ALTO CA / HAMILTON #2,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444607,-122.160263,8,14,2,0,3
7.954166666,7.303333333,26.462371,0,PALO ALTO CA / HIGH #4,000D6F0000A20F47,Level 2,2,J1772,528 High St,94301,37.443676,-122.16288,5,6,3,0,3
2.743333334,2.658055556,9.906827,0,PALO ALTO CA / HIGH #4,000D6F0000A20F47,Level 2,2,J1772,528 High St,94301,37.443676,-122.16288,9,9,4,0,3
11.07166667,8.638611111,31.015196,0,PALO ALTO CA / HIGH #4,000D6F0000A20F47,Level 2,2,J1772,528 High St,94301,37.443676,-122.16288,9,10,5,1,3
1.626111112,1.608611111,5.387015,0,PALO ALTO CA / HIGH #4,000D6F0000A20F47,Level 2,2,J1772,528 High St,94301,37.443676,-122.16288,14,14,6,1,3
16.43194445,14.0825,44.4707,0,PALO ALTO CA / HAMILTON #2,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444607,-122.160263,7,18,0,0,3
15.58138889,14.8425,56.274231,0,PALO ALTO CA / HAMILTON #1,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,17,17,1,0,3
15.93888889,13.34527778,46.75102,0,PALO ALTO CA / HAMILTON #2,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444607,-122.160263,14,17,2,0,3
10.95916667,10.20472222,35.597275,0,PALO ALTO CA / HAMILTON #2,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444607,-122.160263,7,10,3,0,3
35.99916667,23.18222222,75.799888,0,PALO ALTO CA / HAMILTON #2,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444607,-122.160263,9,2,4,0,3
15.65833333,14.385,45.14401,0,PALO ALTO CA / HAMILTON #1,000D:6F00:015A:9D76,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,15,12,5,1,3
18.48,15.29777778,50.542905,0,PALO ALTO CA / HAMILTON #1,000D:6F00:015A:9D76,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,10,7,6,1,3
17.1225,16.08194445,55.585713,0,PALO ALTO CA / HAMILTON #2,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444607,-122.160263,7,8,0,0,3
19.04194444,18.05027778,58.640983,0,PALO ALTO CA / HAMILTON #2,000D6F0000A20F47,Level 2,2,J1772,250 Hamilton Ave,94301,37.443676,-122.16288,7,11,1,0,3
16.35444445,14.92416667,48.773034,0,PALO ALTO CA / HAMILTON #1,000D:6F00:015A:9D76,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,7,11,2,0,3
11.37861111,11.31,38.400697,0,PALO ALTO CA / HAMILTON #2,000D6F0000A20F47,Level 2,2,J1772,250 Hamilton Ave,94301,37.443676,-122.16288,5,10,3,0,3
23.47,15.46138889,52.068764,0,PALO ALTO CA / HAMILTON #2,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444607,-122.160263,8,17,4,0,3
20.61611112,7.875000001,27.976119,0,PALO ALTO CA / HAMILTON #1,000D6F0000A20F47,Level 2,2,J1772,250 Hamilton Ave,94301,37.443676,-122.16288,9,14,5,1,3
12.05305556,11.25777778,33.712429,0,PALO ALTO CA / HAMILTON #1,000D:6F00:015A:9D76,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,20,21,6,1,3
